CheckingAccountStatus,Duration,CreditHistory,Purpose,CreditAmount,SavingsAccount,EmploymentDuration,InstallmentRate,PersonalStatus,Guarantor,ResidenceDuration,Property,Age,OtherInstallmentPlans,Housing,ExistingCredits,Job,Dependents,Telephone,ForeignWorker,Risk
1,18,Critical account,Furniture/equipment,1049,< 100 DM,< 1 year,4,Female divorced/separated/married,None,4,Building society savings,21,None,Rent,1,Skilled,2,No,No,Low Risk
1,9,Critical account,Car (new),2799,< 100 DM,1 - 4 years,2,Male single,None,2,Real estate,36,None,Rent,2,Skilled,1,No,No,Low Risk
2,12,Existing credits paid back,Business,841,100 <= savings < 500,4 - 7 years,2,Female divorced/separated/married,None,4,Real estate,23,None,Rent,1,Unskilled,2,No,No,Low Risk
1,12,Critical account,Car (new),2122,< 100 DM,1 - 4 years,3,Male single,None,2,Real estate,39,None,Rent,2,Unskilled,1,No,Yes,Low Risk
1,12,Critical account,Car (new),2171,< 100 DM,1 - 4 years,4,Male single,None,4,Building society savings,38,Bank,Own,2,Unskilled,2,No,Yes,Low Risk
1,10,Critical account,Car (new),2241,< 100 DM,< 1 year,1,Male single,None,3,Real estate,48,None,Rent,2,Unskilled,1,No,Yes,Low Risk
1,8,Critical account,Car (new),3398,< 100 DM,4 - 7 years,1,Male single,None,4,Real estate,39,None,Own,2,Unskilled,2,No,Yes,Low Risk
1,6,Critical account,Car (new),1361,< 100 DM,< 1 year,2,Male single,None,4,Real estate,40,None,Own,1,Unskilled,1,No,Yes,Low Risk
4,18,Critical account,Radio/TV,1098,< 100 DM,Unemployed,4,Female divorced/separated/married,None,4,Car or other,65,None,Own,2,Unemployed,2,No,No,Low Risk
2,24,Existing credits paid back,Radio/TV,3758,500 <= savings < 1000,Unemployed,1,Female divorced/separated/married,None,4,Unknown / None,23,None,Rent,1,Unemployed,2,No,No,Low Risk
1,11,Critical account,Car (new),3905,< 100 DM,1 - 4 years,2,Male single,None,2,Real estate,36,None,Rent,2,Skilled,1,No,No,Low Risk
1,30,Critical account,Car (used),6187,100 <= savings < 500,4 - 7 years,1,Male married/widowed,None,4,Car or other,24,None,Rent,2,Skilled,2,No,No,Low Risk
1,6,Critical account,Radio/TV,1957,< 100 DM,4 - 7 years,1,Female divorced/separated/married,None,4,Car or other,31,None,Own,1,Skilled,2,No,No,Low Risk
2,48,Delay in paying,Others,7582,100 <= savings < 500,Unemployed,2,Male single,None,4,Unknown / None,31,None,Own,1,Highly skilled,2,Yes,No,Low Risk
1,18,Existing credits paid back,Radio/TV,1936,Unknown / None,4 - 7 years,2,Male married/widowed,None,4,Car or other,23,None,Rent,2,Unskilled,2,No,No,Low Risk
1,6,Existing credits paid back,Radio/TV,2647,500 <= savings < 1000,1 - 4 years,2,Male single,None,3,Real estate,44,None,Rent,1,Skilled,1,No,No,Low Risk
1,11,Critical account,Car (new),3939,< 100 DM,1 - 4 years,1,Male single,None,2,Real estate,40,None,Own,2,Unskilled,1,No,No,Low Risk
2,18,Existing credits paid back,Radio/TV,3213,500 <= savings < 1000,< 1 year,1,Male married/widowed,None,3,Real estate,25,None,Rent,1,Skilled,2,No,No,Low Risk
2,36,Critical account,Radio/TV,2337,< 100 DM,>= 7 years,4,Male single,None,4,Real estate,36,None,Own,1,Skilled,2,No,No,Low Risk
4,11,Critical account,Car (new),7228,< 100 DM,1 - 4 years,1,Male single,None,4,Building society savings,39,None,Own,2,Unskilled,2,No,No,Low Risk
1,6,Critical account,Car (new),3676,< 100 DM,1 - 4 years,1,Male single,None,3,Real estate,37,None,Rent,3,Skilled,1,No,No,Low Risk
2,12,Critical account,Car (new),3124,< 100 DM,< 1 year,1,Male single,None,3,Real estate,49,Bank,Own,2,Unskilled,1,No,No,Low Risk
2,36,Existing credits paid back,Repairs,2384,< 100 DM,< 1 year,4,Male single,None,1,Unknown / None,33,None,Rent,1,Unskilled,2,No,No,High Risk
2,12,Critical account,Domestic appliances,1424,< 100 DM,4 - 7 years,4,Male single,None,3,Building society savings,26,None,Own,1,Skilled,2,No,No,Low Risk
1,6,Critical account,Car (new),4716,Unknown / None,< 1 year,1,Male single,None,3,Real estate,44,None,Own,2,Unskilled,1,No,No,Low Risk
2,11,Delay in paying,Radio/TV,4771,< 100 DM,4 - 7 years,2,Male single,None,4,Building society savings,51,None,Own,1,Skilled,2,No,No,Low Risk
1,12,Existing credits paid back,Furniture/equipment,652,< 100 DM,>= 7 years,4,Female divorced/separated/married,None,4,Building society savings,24,None,Rent,1,Skilled,2,No,No,Low Risk
2,9,Critical account,Radio/TV,1154,< 100 DM,>= 7 years,2,Male single,None,4,Real estate,37,None,Own,3,Unskilled,2,No,No,Low Risk
4,15,Existing credits paid back,Car (new),3556,Unknown / None,1 - 4 years,3,Male single,None,2,Unknown / None,29,None,Own,1,Skilled,2,No,No,Low Risk
3,42,Critical account,Car (used),4796,< 100 DM,>= 7 years,4,Male single,None,4,Unknown / None,56,None,Free,1,Skilled,2,No,No,Low Risk
3,30,Critical account,Radio/TV,3017,< 100 DM,>= 7 years,4,Male single,None,4,Building society savings,47,None,Own,1,Skilled,2,No,No,Low Risk
4,36,Critical account,Car (new),3535,< 100 DM,4 - 7 years,4,Male single,None,4,Car or other,37,None,Own,2,Skilled,2,Yes,No,Low Risk
4,36,Critical account,Car (new),6614,< 100 DM,>= 7 years,4,Male single,None,4,Car or other,34,None,Own,2,Highly skilled,2,Yes,No,Low Risk
4,24,Existing credits paid back,Radio/TV,1376,500 <= savings < 1000,4 - 7 years,4,Female divorced/separated/married,None,1,Car or other,28,None,Own,1,Skilled,2,No,No,Low Risk
1,15,Existing credits paid back,Car (new),1721,< 100 DM,< 1 year,2,Male single,None,3,Real estate,36,None,Own,1,Skilled,2,No,No,Low Risk
1,6,Critical account,Car (new),860,< 100 DM,>= 7 years,1,Female divorced/separated/married,None,4,Unknown / None,39,None,Own,2,Skilled,2,Yes,No,Low Risk
4,12,Critical account,Car (new),1495,< 100 DM,>= 7 years,4,Male single,None,1,Real estate,38,None,Own,2,Unskilled,1,No,No,Low Risk
4,12,Critical account,Radio/TV,1934,< 100 DM,>= 7 years,2,Male single,None,2,Unknown / None,26,None,Own,2,Skilled,2,No,No,Low Risk
4,18,Existing credits paid back,Car (used),3378,Unknown / None,1 - 4 years,2,Male single,None,1,Building society savings,31,None,Own,1,Skilled,2,Yes,No,Low Risk
4,24,Critical account,Car (used),3868,< 100 DM,>= 7 years,4,Female divorced/separated/married,None,2,Car or other,41,None,Rent,2,Highly skilled,2,Yes,No,Low Risk
4,12,Critical account,Repairs,996,Unknown / None,4 - 7 years,4,Female divorced/separated/married,None,4,Real estate,23,None,Own,2,Skilled,2,No,No,Low Risk
1,24,Existing credits paid back,Others,1755,< 100 DM,>= 7 years,4,Female divorced/separated/married,Guarantor,4,Real estate,58,None,Own,1,Unskilled,2,Yes,No,Low Risk
4,18,Critical account,Car (new),1028,< 100 DM,1 - 4 years,4,Female divorced/separated/married,None,3,Real estate,36,None,Own,2,Skilled,2,No,No,Low Risk
2,24,Critical account,Business,2825,Unknown / None,4 - 7 years,4,Male single,None,3,Unknown / None,34,None,Own,2,Skilled,1,Yes,No,Low Risk
2,18,Existing credits paid back,Education,1239,Unknown / None,1 - 4 years,4,Male single,None,4,Unknown / None,61,None,Free,1,Skilled,2,No,No,Low Risk
1,18,Existing credits paid back,Car (new),1216,< 100 DM,< 1 year,4,Female divorced/separated/married,None,3,Car or other,23,None,Rent,1,Skilled,2,Yes,No,High Risk
4,24,Existing credits paid back,Business,1258,< 100 DM,4 - 7 years,4,Male single,None,1,Real estate,25,None,Own,1,Skilled,2,Yes,No,Low Risk
4,18,Critical account,Education,1864,100 <= savings < 500,1 - 4 years,4,Female divorced/separated/married,None,2,Real estate,30,None,Own,2,Skilled,2,No,No,High Risk
4,24,Existing credits paid back,Car (new),1474,100 <= savings < 500,< 1 year,4,Male married/widowed,None,3,Real estate,33,None,Own,1,Skilled,2,Yes,No,Low Risk
1,24,Critical account,Business,1382,100 <= savings < 500,4 - 7 years,4,Male single,None,1,Real estate,26,None,Own,2,Skilled,2,Yes,No,Low Risk
4,12,Existing credits paid back,Car (new),640,< 100 DM,1 - 4 years,4,Male divorced/separated,None,2,Real estate,49,None,Own,1,Unskilled,2,No,No,Low Risk
3,36,Existing credits paid back,Radio/TV,3919,< 100 DM,1 - 4 years,2,Male single,None,2,Real estate,23,None,Own,1,Skilled,2,Yes,No,Low Risk
4,9,Critical account,Car (new),1224,< 100 DM,1 - 4 years,3,Male single,None,1,Real estate,30,None,Own,2,Skilled,2,No,No,Low Risk
4,12,Critical account,Radio/TV,2331,Unknown / None,>= 7 years,1,Male single,Co-applicant,4,Real estate,49,None,Own,1,Skilled,2,Yes,No,Low Risk
4,24,Existing credits paid back,Car (used),6313,Unknown / None,>= 7 years,3,Male single,None,4,Car or other,41,None,Own,1,Highly skilled,1,Yes,No,Low Risk
1,12,Critical account,Radio/TV,385,< 100 DM,4 - 7 years,4,Female divorced/separated/married,None,3,Real estate,58,None,Own,4,Unskilled,2,Yes,No,Low Risk
4,12,Critical account,Radio/TV,1655,< 100 DM,>= 7 years,2,Male single,None,4,Real estate,63,None,Own,2,Unskilled,2,Yes,No,Low Risk
1,15,Existing credits paid back,Radio/TV,1053,< 100 DM,< 1 year,4,Male married/widowed,None,2,Real estate,27,None,Own,1,Skilled,2,No,Yes,Low Risk
4,21,Existing credits paid back,Radio/TV,3160,Unknown / None,>= 7 years,4,Male single,None,3,Building society savings,41,None,Own,1,Skilled,2,Yes,No,Low Risk
4,36,Existing credits paid back,Car (new),3079,Unknown / None,1 - 4 years,4,Male single,None,4,Real estate,36,None,Own,1,Skilled,2,No,No,Low Risk
4,12,Critical account,Car (new),1163,500 <= savings < 1000,1 - 4 years,4,Male single,None,4,Real estate,44,None,Own,1,Skilled,2,Yes,No,Low Risk
4,24,Existing credits paid back,Car (used),2679,< 100 DM,< 1 year,4,Female divorced/separated/married,None,1,Unknown / None,29,None,Own,1,Highly skilled,2,Yes,No,Low Risk
4,48,Critical account,Radio/TV,3578,Unknown / None,>= 7 years,4,Male single,None,1,Real estate,47,None,Own,1,Skilled,2,Yes,No,Low Risk
4,36,Delay in paying,Car (new),10875,< 100 DM,>= 7 years,2,Male single,None,2,Car or other,45,None,Own,2,Skilled,1,Yes,No,Low Risk
1,12,Delay in paying,Car (new),1344,< 100 DM,1 - 4 years,4,Male single,None,2,Real estate,43,None,Own,2,Unskilled,1,No,No,Low Risk
4,6,Critical account,Radio/TV,1237,100 <= savings < 500,1 - 4 years,1,Female divorced/separated/married,None,1,Building society savings,27,None,Own,2,Skilled,2,No,No,Low Risk
4,12,Existing credits paid back,Radio/TV,3077,< 100 DM,1 - 4 years,2,Male single,None,4,Car or other,52,None,Own,1,Skilled,2,Yes,No,Low Risk
4,24,Existing credits paid back,Radio/TV,2284,< 100 DM,4 - 7 years,4,Male single,None,2,Car or other,28,None,Own,1,Skilled,2,Yes,No,Low Risk
2,12,Existing credits paid back,Radio/TV,1567,< 100 DM,1 - 4 years,1,Female divorced/separated/married,None,1,Car or other,22,None,Own,1,Skilled,2,Yes,No,Low Risk
4,24,Delay in paying,Car (new),2032,< 100 DM,>= 7 years,4,Male single,None,4,Unknown / None,60,None,Free,2,Skilled,2,Yes,No,Low Risk
2,21,Critical account,Furniture/equipment,2745,>= 1000 DM,4 - 7 years,3,Male single,None,2,Car or other,32,None,Own,2,Skilled,2,Yes,No,Low Risk
4,30,Existing credits paid back,Radio/TV,1867,Unknown / None,>= 7 years,4,Male single,None,4,Car or other,58,None,Own,1,Skilled,2,Yes,No,Low Risk
4,36,Existing credits paid back,Radio/TV,2299,500 <= savings < 1000,>= 7 years,4,Male single,None,4,Car or other,39,None,Own,1,Skilled,2,No,No,Low Risk
4,24,Existing credits paid back,Furniture/equipment,929,Unknown / None,4 - 7 years,4,Male single,None,2,Car or other,31,Stores,Own,1,Skilled,2,Yes,No,Low Risk
3,12,Existing credits paid back,Radio/TV,3399,Unknown / None,>= 7 years,2,Male single,None,3,Car or other,37,None,Own,1,Highly skilled,2,No,No,Low Risk
2,9,Existing credits paid back,Furniture/equipment,2030,Unknown / None,4 - 7 years,2,Male single,None,1,Car or other,24,None,Own,1,Skilled,2,Yes,No,Low Risk
4,21,Critical account,Car (used),3275,< 100 DM,>= 7 years,1,Male single,None,4,Car or other,36,None,Own,1,Highly skilled,2,Yes,No,Low Risk
4,24,Critical account,Car (new),1940,>= 1000 DM,>= 7 years,4,Male single,None,4,Real estate,60,None,Own,1,Skilled,2,Yes,No,Low Risk
1,21,Critical account,Car (new),1602,< 100 DM,>= 7 years,4,Male married/widowed,None,3,Car or other,30,None,Own,2,Skilled,2,Yes,No,Low Risk
