CheckingAccountStatus,CreditHistory,Purpose,SavingsAccount,EmploymentDuration,InstallmentRate,PersonalStatus,Guarantor,ResidenceDuration,Property,OtherInstallmentPlans,Housing,ExistingCredits,Job,Dependents,Telephone,ForeignWorker,Risk,AgeCategory,DurationCategory,CreditAmountCategory
1,Critical account,Furniture/equipment,< 100 DM,< 1 year,4,Female divorced/separated/married,None,4,Building society savings,None,Rent,1,Skilled,2,No,No,Low Risk,Young,Medium,Low
1,Critical account,Car (new),< 100 DM,1 - 4 years,2,Male single,None,2,Real estate,None,Rent,2,Skilled,1,No,No,Low Risk,Middle-aged,Short,Medium
2,Existing credits paid back,Business,100 <= savings < 500,4 - 7 years,2,Female divorced/separated/married,None,4,Real estate,None,Rent,1,Unskilled,2,No,No,Low Risk,Young,Short,Low
1,Critical account,Car (new),< 100 DM,1 - 4 years,3,Male single,None,2,Real estate,None,Rent,2,Unskilled,1,No,Yes,Low Risk,Senior,Short,Medium
1,Critical account,Car (new),< 100 DM,1 - 4 years,4,Male single,None,4,Building society savings,Bank,Own,2,Unskilled,2,No,Yes,Low Risk,Middle-aged,Short,Medium
1,Critical account,Car (new),< 100 DM,< 1 year,1,Male single,None,3,Real estate,None,Rent,2,Unskilled,1,No,Yes,Low Risk,Senior,Short,Medium
1,Critical account,Car (new),< 100 DM,4 - 7 years,1,Male single,None,4,Real estate,None,Own,2,Unskilled,2,No,Yes,Low Risk,Senior,Short,High
1,Critical account,Car (new),< 100 DM,< 1 year,2,Male single,None,4,Real estate,None,Own,1,Unskilled,1,No,Yes,Low Risk,Senior,Short,Low
4,Critical account,Radio/TV,< 100 DM,Unemployed,4,Female divorced/separated/married,None,4,Car or other,None,Own,2,Unemployed,2,No,No,Low Risk,Senior,Medium,Low
2,Existing credits paid back,Radio/TV,500 <= savings < 1000,Unemployed,1,Female divorced/separated/married,None,4,Unknown / None,None,Rent,1,Unemployed,2,No,No,Low Risk,Young,Medium,High
1,Critical account,Car (new),< 100 DM,1 - 4 years,2,Male single,None,2,Real estate,None,Rent,2,Skilled,1,No,No,Low Risk,Middle-aged,Short,High
1,Critical account,Car (used),100 <= savings < 500,4 - 7 years,1,Male married/widowed,None,4,Car or other,None,Rent,2,Skilled,2,No,No,Low Risk,Young,Long,High
1,Critical account,Radio/TV,< 100 DM,4 - 7 years,1,Female divorced/separated/married,None,4,Car or other,None,Own,1,Skilled,2,No,No,Low Risk,Middle-aged,Short,Medium
