CheckingAccountStatus,Duration,CreditHistory,Purpose,CreditAmount,SavingsAccount,EmploymentDuration,InstallmentRate,PersonalStatus,Guarantor,ResidenceDuration,Property,Age,OtherInstallmentPlans,Housing,ExistingCredits,Job,Dependents,Telephone,ForeignWorker,Risk
1,Short,Critical account,Furniture/equipment,Low,< 100 DM,< 1 year,4,Female divorced/separated/married,,4,Building society savings,Young,,Rent,1,Skilled,2,No,No,Low Risk
1,Short,Critical account,Car (new),Low,< 100 DM,1 - 4 years,2,Male single,,2,Real estate,Young,,Rent,2,Skilled,1,No,No,Low Risk
2,Short,Existing credits paid back,Business,Low,100 <= savings < 500,4 - 7 years,2,Female divorced/separated/married,,4,Real estate,Young,,Rent,1,Unskilled,2,No,No,Low Risk
1,Short,Critical account,Car (new),Low,< 100 DM,1 - 4 years,3,Male single,,2,Real estate,Middle,,Rent,2,Unskilled,1,No,Yes,Low Risk
1,Short,Critical account,Car (new),Low,< 100 DM,1 - 4 years,4,Male single,,4,Building society savings,Middle,Bank,Own,2,Unskilled,2,No,Yes,Low Risk
1,Short,Critical account,Car (new),Low,< 100 DM,< 1 year,1,Male single,,3,Real estate,Middle,,Rent,2,Unskilled,1,No,Yes,Low Risk
1,Short,Critical account,Car (new),Low,< 100 DM,4 - 7 years,1,Male single,,4,Real estate,Middle,,Own,2,Unskilled,2,No,Yes,Low Risk
1,Short,Critical account,Car (new),Low,< 100 DM,< 1 year,2,Male single,,4,Real estate,Middle,,Own,1,Unskilled,1,No,Yes,Low Risk
4,Short,Critical account,Radio/TV,Low,< 100 DM,Unemployed,4,Female divorced/separated/married,,4,Car or other,Old,,Own,2,Unemployed,2,No,No,Low Risk
2,Short,Existing credits paid back,Radio/TV,Low,500 <= savings < 1000,Unemployed,1,Female divorced/separated/married,,4,Unknown / None,Young,,Rent,1,Unemployed,2,No,No,Low Risk
1,Short,Critical account,Car (new),Low,< 100 DM,1 - 4 years,2,Male single,,2,Real estate,Young,,Rent,2,Skilled,1,No,No,Low Risk
1,Medium,Critical account,Car (used),Low,100 <= savings < 500,4 - 7 years,1,Male married/widowed,,4,Car or other,Young,,Rent,2,Skilled,2,No,No,Low Risk
1,Short,Critical account,Radio/TV,Low,< 100 DM,4 - 7 years,1,Female divorced/separated/married,,4,Car or other,Young,,Own,1,Skilled,2,No,No,Low Risk
2,Medium,Delay in paying,Others,Medium,100 <= savings < 500,Unemployed,2,Male single,,4,Unknown / None,Young,,Own,1,Highly skilled,2,Yes,No,Low Risk
1,Short,Existing credits paid back,Radio/TV,Low,Unknown / None,4 - 7 years,2,Male married/widowed,,4,Car or other,Young,,Rent,2,Unskilled,2,No,No,Low Risk
1,Short,Existing credits paid back,Radio/TV,Low,500 <= savings < 1000,1 - 4 years,2,Male single,,3,Real estate,Middle,,Rent,1,Skilled,1,No,No,Low Risk
1,Short,Critical account,Car (new),Low,< 100 DM,1 - 4 years,1,Male single,,2,Real estate,Middle,,Own,2,Unskilled,1,No,No,Low Risk
2,Short,Existing credits paid back,Radio/TV,Low,500 <= savings < 1000,< 1 year,1,Male married/widowed,,3,Real estate,Young,,Rent,1,Skilled,2,No,No,Low Risk
2,Medium,Critical account,Radio/TV,Low,< 100 DM,>= 7 years,4,Male single,,4,Real estate,Young,,Own,1,Skilled,2,No,No,Low Risk
4,Short,Critical account,Car (new),Medium,< 100 DM,1 - 4 years,1,Male single,,4,Building society savings,Middle,,Own,2,Unskilled,2,No,No,Low Risk
1,Short,Critical account,Car (new),Low,< 100 DM,1 - 4 years,1,Male single,,3,Real estate,Young,,Rent,3,Skilled,1,No,No,Low Risk
2,Short,Critical account,Car (new),Low,< 100 DM,< 1 year,1,Male single,,3,Real estate,Middle,Bank,Own,2,Unskilled,1,No,No,Low Risk
2,Medium,Existing credits paid back,Repairs,Low,< 100 DM,< 1 year,4,Male single,,1,Unknown / None,Young,,Rent,1,Unskilled,2,No,No,High Risk
